ID,Job_Title,Estimated_Employment,Entry_Hourly,Entry_Annual,Mean_Hourly,Mean_Annual,Hourly_25th_Percentile,Annual_25th_Percentile,Median_Hourly,Median_Annual,Hourly_75th_Percentile,Annual_75th_Percentile,Experienced_Hourly,Experienced_Annual,Year,Zone
5,"Software Developers, Systems Software",300,22,"45,034",41,"84,731",29,"59,388",39,"81,099",55,"114,890",61,"127,261",2017,Northern Kentucky
6,Web Developers,90,15,"31,995",26,"53,321",18,"38,183",24,"48,921",30,"62,193",38,"79,089",2017,Northern Kentucky
7,Database Administrators,100,20,"42,265",38,"78,549",28,"58,859",37,"77,693",47,"97,305",57,"117,549",2017,Northern Kentucky
8,Network and Computer Systems Administrators,440,21,"43,541",33,"69,621",26,"53,671",32,"65,566",40,"83,652",49,"101,241",2017,Northern Kentucky
9,Computer Network Architects,230,25,"51,692",42,"86,477",32,"66,609",38,"78,051",46,"96,623",61,"126,414",2017,Northern Kentucky
10,Computer User Support Specialists,880,13,"27,720",28,"58,963",16,"33,918",23,"48,080",33,"67,864",55,"115,172",2017,Northern Kentucky
11,Computer Network Support Specialists,170,16,"33,998",31,"63,779",18,"37,558",24,"50,706",44,"91,654",53,"109,510",2017,Northern Kentucky
12,"Computer Occupations, All Other",190,23,"48,409",37,"77,587",30,"62,000",38,"78,560",45,"94,610",51,"106,572",2017,Northern Kentucky
13,Operations Research Analysts,90,19,"40,308",36,"73,924",27,"56,017",35,"73,032",45,"92,649",52,"108,844",2017,Northern Kentucky
1,Computer Systems Analysts,100,24,"50,939",44,"92,305",30,"62,291",52,"107,416",58,"121,377",62,"129,753",2017,South Central
2,Information Security Analysts,20,17,"36,123",34,"70,763",22,"44,955",31,"65,493",44,"91,861",57,"117,896",2017,South Central
3,Computer Programmers,N/A,26,"54,828",33,"68,097",29,"59,373",33,"67,727",37,"76,729",39,"82,130",2017,South Central
4,"Software Developers, Applications",90,13,"26,607",28,"58,004",14,"29,383",27,"56,501",37,"75,935",45,"93,032",2017,South Central
5,"Software Developers, Systems Software",N/A,20,"41,699",34,"70,175",22,"45,848",32,"66,861",40,"82,232",59,"122,477",2017,South Central
6,Web Developers,N/A,15,"30,538",25,"52,227",19,"38,840",25,"52,588",31,"64,210",37,"76,189",2017,South Central
7,Database Administrators,20,18,"36,771",31,"65,242",23,"46,894",33,"69,028",40,"82,254",46,"95,827",2017,South Central
8,Network and Computer Systems Administrators,200,17,"35,807",29,"60,044",21,"44,498",28,"58,129",36,"74,629",43,"88,753",2017,South Central
9,Computer Network Architects,20,18,"37,493",31,"63,880",23,"47,048",32,"66,050",38,"78,851",44,"92,367",2017,South Central
10,Computer User Support Specialists,230,12,"25,260",19,"39,439",14,"30,008",18,"37,041",22,"46,064",27,"56,416",2017,South Central
11,Computer Network Support Specialists,60,15,"30,269",25,"51,199",19,"38,603",26,"54,966",30,"61,801",32,"66,669",2017,South Central
12,"Computer Occupations, All Other",30,12,"25,033",29,"60,229",15,"32,019",27,"55,219",41,"86,292",48,"99,809",2017,South Central
13,Operations Research Analysts,40,17,"34,409",33,"68,329",19,"38,669",29,"60,784",47,"97,064",54,"113,058",2017,South Central
1,Computer Systems Analysts,110,18,"36,551",36,"74,247",24,"48,962",36,"74,584",47,"98,197",57,"118,498",2017,West Kentucky
2,Information Security Analysts,20,21,"43,437",36,"74,859",24,"49,416",32,"66,009",46,"95,224",61,"126,159",2017,West Kentucky
3,Computer Programmers,50,16,"32,461",29,"60,974",22,"45,060",28,"58,978",36,"75,351",44,"91,681",2017,West Kentucky
4,"Software Developers, Applications",230,21,"43,287",33,"67,806",24,"49,354",32,"65,518",40,"82,276",47,"97,752",2017,West Kentucky
